date,rain_mm,runoff_mm,drainage_mm,soil_evap_mm,transp_mm,et_mm,erosion_t_ha,yield_t_ha
1975,975.6,171.6979988782653,104.31202271480026,389.47522692019936,234.14572718289187,623.6209541030912,32.33997259742964,1.873
1976,663.3,109.21209711454631,93.9168737725638,376.41684600002685,211.0859947200841,587.502840720111,21.13164170878169,1.689
1977,619.4,132.66319343850904,81.91756952506404,297.3273590650245,155.00381672929493,452.33117579431945,34.91191193798549,1.24
1978,907.3,177.7991045131767,37.558987561980416,352.68530478424424,279.9939933024759,632.6792980867201,33.59181448146068,2.24
1979,400.1,8.836640680592447,0.0,263.45624285545705,160.7898860619493,424.24612891740634,1.330605568575085,1.286
1980,522.8,67.77894760797298,24.93743203790106,293.0421113249522,162.22341810800788,455.2655294329601,16.1345104924769,1.298
1981,623.4,105.82124268396238,22.958142894698625,350.1066237913133,169.0545423120641,519.1611661033775,34.12551311797571,1.352
1982,348.2,13.966288210340283,0.0,231.9530001233314,145.24222336352042,377.19522348685183,2.272074714529496,1.162
1983,1108.6,360.5645068182735,150.10666145510575,356.80489507127425,189.88944748526532,546.6943425565396,112.27170795984723,1.519
1984,536.1,1.3638215296059268,0.0,349.9358541060848,238.70619651674426,588.6420506228291,0.0,1.91
1985,600.6,17.487013764624326,0.0,372.00776703759203,159.3104425096371,531.3182095472291,7.2945074101385945,1.274
1986,560.6,36.55817552461119,2.003084598857555,352.44216097683085,268.60413976519897,621.0463007420299,7.196968224895706,2.149
1987,643.6,3.7811483899449976,0.0,414.4248982840847,173.4343888811318,587.8592871652165,1.0267786948877884,1.387
1988,741.3,69.63696008412359,32.931617010746635,386.0019180333615,227.09510528788712,613.0970233212486,16.60348405127069,1.817
1989,744.7,89.5228284117866,61.10737897320621,416.74843111061966,240.9669458247513,657.715376935371,25.05230414203604,1.928
1990,625.4,79.45464004015601,6.62760815097775,283.388609657382,178.62672954035915,462.0153391977411,36.600826226782594,1.429
1991,519.9,32.89472944543845,73.17294845509079,320.67006859442205,178.23150368210167,498.9015722765237,5.483296246807704,1.426
1992,292.8,0.05021053351026989,0.0,268.3095005021989,60.25721525247828,328.5667157546772,0.0,0.482
1993,327.7,0.35960645888544474,0.0,276.434635219256,99.46014394801526,375.8947791672712,0.0,0.796
1994,560.2,112.43635383051537,45.15736266216544,234.20139777807657,160.7464516129032,394.94784939097974,20.333138935481927,1.286
1995,491.6,5.682384724710227,0.0,344.5241254114778,166.78736225518804,511.3114876666658,0.8764034988901626,1.334
1996,690.2,99.21641265339198,24.343965924737773,330.0250311606255,186.2464842209291,516.2715153815545,15.894888446854978,1.49
1997,511.8,6.18865981502157,0.0,322.4516893307367,163.87305942078547,486.3247487515222,0.8279514160287516,1.311
1998,790.0,52.23254184897037,0.0,374.43594230998474,416.2143444424633,790.650286752448,11.379282873411213,3.33
1999,376.3,11.060619812598912,0.0,280.3955272475828,134.88939561500652,415.28492286258927,1.912136197059108,1.079
2000,894.1,121.53217027684664,22.258017496734738,359.1838026599426,221.51106422066982,580.6948668806124,20.766369635667512,1.772
