date,rain_mm,runoff_mm,drainage_mm,soil_evap_mm,transp_mm,et_mm,erosion_t_ha,yield_t_ha
1975,975.6,41.07736958671866,32.65715076965856,375.0731345717114,476.1340202872665,851.2071548589779,1.1385019491487005,0.0
1976,663.3,20.59546487042495,21.285512504714774,363.6040424750344,390.8209963823376,754.425038857372,0.3803252560921788,0.0
1977,619.4,43.12113106457312,66.1268708566943,276.0035510063371,255.63584853619403,531.6393995425311,1.3734603062408905,0.0
1978,907.3,67.18541447195119,32.10644149971694,345.84565532305896,426.60002428375196,772.4456796068109,1.4654980039462957,0.0
1979,400.1,0.0,0.0,248.8352117922134,184.76032414239194,433.5955359346053,0.0,0.0
1980,522.8,1.971849260711565,0.0,288.74965504315725,252.67417317538695,541.4238282185441,0.036114028007693276,0.0
1981,623.4,4.334522344200384,0.0,322.7260195644484,340.8448923513386,663.570911915787,0.09252892000621722,0.0
1982,348.2,0.0,0.0,216.64574545669538,165.5648293186009,382.21057477529627,0.0,0.0
1983,1108.6,177.2229206642575,140.22189219703156,321.12929676531996,433.4798239347654,754.6091207000853,3.8316815016972963,0.0
1984,536.1,0.5455188247127026,0.0,345.634820084846,234.49067439297386,580.1254944778199,0.0,0.0
1985,600.6,2.985431483193089,0.0,353.4832332884655,269.3966874585215,622.8799207469871,0.06373462282262918,0.0
1986,560.6,3.138002773971283,0.0,354.9050320418547,244.81867139756213,599.7237034394169,0.11510161044971502,0.0
1987,643.6,0.26848075684919714,0.0,399.8402401025777,239.23725214984046,639.0774922524182,0.0,0.0
1988,741.3,17.231867700693126,12.787906679307213,353.45651829195,382.37502607036396,735.8315443623139,0.6276382060905202,0.0
1989,744.7,2.907218275038768,0.0,384.50210806985774,391.89832337009136,776.4004314399491,0.027988236538674188,0.0
1990,625.4,47.45455754402148,50.38191725213531,256.72491736007913,181.2627911615328,437.9877085216119,1.039088732001757,0.0
1991,519.9,4.257222007818143,34.30387899616957,299.15257047989587,327.5616646941348,626.7142351740306,0.07250190205881776,0.0
1992,292.8,0.0,0.0,259.7020919741335,80.9783151453934,340.6804071195269,0.0,0.0
1993,327.7,0.0,0.0,270.8302153441732,114.81764333595804,385.64785868013126,0.0,0.0
1994,560.2,81.2572438381365,64.7152763073278,229.15698434312634,175.61683322107146,404.7738175641978,2.4798808081408312,0.0
1995,491.6,0.0,0.0,343.7118264743814,181.2651659631415,524.9769924375229,0.0,0.0
1996,690.2,59.150145061447404,30.0,318.0971853877438,290.78022981962687,608.8774152073707,1.086926225424724,0.0
1997,511.8,0.0,0.0,312.60010552489547,215.9051307448025,528.505236269698,0.0,0.0
1998,790.0,25.374793727120327,6.954925253489051,391.1913004780571,359.9279889211607,751.1192893992178,1.4534796627712208,0.0
1999,376.3,0.0,0.0,269.8135967297526,173.06937872636223,442.8829754561148,0.0,0.0
2000,894.1,93.89537486369463,37.49833584306353,324.89918283081374,365.6561160139881,690.5552988448019,3.6213649023735703,0.25
