date,rain_mm,runoff_mm,drainage_mm,soil_evap_mm,transp_mm,et_mm,erosion_t_ha,yield_t_ha
1975,975.6,131.8644090706844,233.4444402636581,321.6198564675688,225.07704980523658,546.6969062728053,4.088476568151942,2.701
1976,663.3,74.61200140086171,170.68747037164692,310.4601255502546,180.49141829515253,490.9515438454071,1.4995524258867705,2.166
1977,619.4,103.51416806436877,195.131180696269,250.57114396409614,119.24196954000013,369.81311350409624,2.3259727833272126,1.431
1978,907.3,149.9283042923067,96.86251905338082,314.9955309141208,252.1750337298201,567.1705646439409,3.266778164026258,3.026
1979,400.1,13.405311168178452,71.49259091579717,226.81240793657622,126.91217274504437,353.7245806816206,0.23998978324588904,1.523
1980,522.8,54.20685285342969,101.60774748082045,267.6398110767711,136.96407595001332,404.60388702678443,1.3116004803108776,1.644
1981,623.4,89.36050606379135,132.66498351594598,300.5834687695123,145.96191863592324,446.5453874054356,2.73558684970168,1.752
1982,348.2,19.816645098743006,66.64849616040905,198.9187739027664,102.46581760000001,301.3845915027664,0.3713110197998225,1.23
1983,1108.6,285.6894036898641,240.6824433414724,307.30643708754315,159.1030047722738,466.409441859817,8.253041461645598,1.909
1984,536.1,7.789219084878311,25.348193801739598,310.04698148156143,252.23680258363012,562.2837840651915,0.14627812905639265,3.027
1985,600.6,26.55011806144192,20.73319884376403,331.41363423832536,180.3169321031897,511.7305663415151,2.1307242262526094,2.164
1986,560.6,35.94368851425392,90.54130851833276,313.6175405669047,241.58359482544458,555.2011353923493,0.6704922873044278,2.899
1987,643.6,6.049444161823559,0.0,363.9065794057512,232.98193902409506,596.8885184298463,0.12683241915197097,2.796
1988,741.3,53.67071079405385,118.79458421499751,325.60004762604666,201.28566922657274,526.8857168526195,1.1751754216057846,2.415
1989,744.7,74.7445826063972,186.34501582463483,361.2211177420802,212.94381970453873,574.1649374466189,1.7536352484468953,2.555
1990,625.4,60.58573180413276,101.59345550554443,244.24037584210214,143.64035240005612,387.8807282421583,3.3249400183922777,1.724
1991,519.9,17.882570576522987,169.0529502129984,269.66885745813005,149.2640980706227,418.93295552875276,0.2823007380642224,1.791
1992,292.8,0.3377697427356297,0.0,248.67307763901064,94.14333997044405,342.8164176094547,0.0,1.13
1993,327.7,0.5157779547088376,0.0,244.93394690054853,141.62135395743607,386.5553008579846,0.0,1.699
1994,560.2,77.19913485257177,83.55060121416489,213.18053831285548,125.59591616735395,338.7764544802094,1.4544544877075931,1.507
1995,491.6,10.313315659615023,8.691704404031924,312.1839396514248,198.00988619583399,510.1938258472588,0.19430728318485047,2.376
1996,690.2,92.3459402576764,82.14428542157717,288.55413051192403,162.51839997804268,451.0725304899667,1.7170398536752614,1.95
1997,511.8,13.37654129740964,47.705413459480695,283.2161073582043,166.9077467658421,450.1238541240464,0.22163559254532306,2.003
1998,790.0,56.25052816535395,63.21670560729228,335.7969450303741,393.3970267285846,729.1939717589587,1.1524394508511429,4.721
1999,376.3,20.546139672421067,38.04830227710141,244.2927817202876,135.4233802044505,379.71616192473806,0.38709806927732826,1.625
2000,894.1,117.01616165982804,139.63018381593346,306.50960570317153,191.61450944705018,498.1241151502217,3.8892813810991202,2.299
