date,rain_mm,runoff_mm,drainage_mm,soil_evap_mm,transp_mm,et_mm,erosion_t_ha,yield_t_ha
1975,975.6,137.3566717982845,175.7495885882321,348.0778007486936,238.45469968867076,586.5325004373644,9.928384879059802,1.908
1976,663.3,77.57003879768601,132.58653491990825,309.4151128469207,197.05163578304766,506.4667486299684,5.882423337602898,1.576
1977,619.4,118.00575495006117,174.86239913442213,243.47408040631686,130.70122726801426,374.1753076743311,11.28813227910411,1.046
1978,907.3,166.78108613978415,94.60380258783266,291.10149687640353,257.57551559242006,548.6770124688236,11.703599994634963,2.061
1979,400.1,17.791884281521348,65.83909350087959,194.88620479577017,134.27436316026,329.16056795603015,1.2864569574260023,1.074
1980,522.8,62.704944454149306,86.8037564113186,262.33687035128287,140.2712236296121,402.608093980895,4.928671313815253,1.122
1981,623.4,93.97649119157579,93.93420221797024,299.8262247282749,152.27439940094695,452.10062412922184,10.853176115239794,1.218
1982,348.2,18.795994922712115,44.890213708392906,199.51609192092883,114.1728307119912,313.68892263292,1.2935314450730382,0.913
1983,1108.6,300.0845931830591,201.4094761980604,311.85935162865013,165.48658926956267,477.3459408982128,37.15923753935687,1.324
1984,536.1,10.60787208699217,26.929397362887073,248.68562258895943,283.73557712241535,532.4211997113748,0.18117155348306413,2.27
1985,600.6,38.43493592928424,30.817491173022006,297.43742373694084,185.552739519108,482.99016325604885,6.932572818755838,1.484
1986,560.6,39.218560081285695,62.29726925152508,284.7123936128625,267.0497287403466,551.7621223532091,2.801280057445794,2.136
1987,643.6,9.992305678499537,0.0,327.62714394509123,246.5134533081559,574.1405972532472,1.0579185741689066,1.972
1988,741.3,56.56039973400857,90.58290795347563,346.02170788827266,209.59291483640612,555.6146227246787,4.708181302221603,1.677
1989,744.7,82.02249376398113,152.8816870258021,343.50917497359995,228.3013488827748,571.8105238563747,7.597144161071372,1.826
1990,625.4,70.28416771864292,88.64612912729723,236.53962793524806,143.07310626427824,379.6127341995263,12.21605811544176,1.145
1991,519.9,21.82010246776888,131.35100933744715,282.7869142089393,147.472902518519,430.2598167274583,0.9969455651619585,1.18
1992,292.8,3.4531702398989346,4.4947536992584105,188.95826952704246,120.63212466128643,309.5903941883289,0.15544249925133535,0.965
1993,327.7,0.4691203152036806,0.0,195.35171712520508,150.76869364412798,346.12041076933303,0.0,1.206
1994,560.2,96.62422809332034,66.11068209616434,202.1769628564077,135.82423901815102,338.0012018745587,7.022512708770922,1.087
1995,491.6,12.987503248347055,6.782788686409248,275.6690657902199,201.90523809854326,477.5743038887632,0.9178644034195986,1.615
1996,690.2,102.96605547103285,78.89097269133586,266.48043791939523,169.10295086846972,435.583388787865,6.242421723051668,1.353
1997,511.8,21.322491446543797,43.792296739217534,267.67530891517185,169.07693703199223,436.7522459471641,1.5651970852455048,1.353
1998,790.0,62.474632982656736,48.49455672389087,294.60781416716316,405.48864626729534,700.0964604344584,5.428316890210399,3.244
1999,376.3,23.829904732901234,34.14415019327035,202.3058014040957,154.12753207344272,356.43333347753844,1.6199002522193837,1.233
2000,894.1,139.9995529191589,152.55577819013575,283.09422632984547,198.2941341918211,481.3883605216665,9.331903181833015,1.586
