date,rain_mm,runoff_mm,drainage_mm,soil_evap_mm,transp_mm,et_mm,erosion_t_ha,yield_t_ha
1975,707.7,25.372052016222685,0.0,268.9823691242656,375.1666254376967,644.1489945619622,0.4337730289071631,4.502
1976,655.1,2.4841831802785386,0.0,352.0529007209637,409.4651958227326,761.5180965436963,0.07519450320655616,4.914
1977,544.0,0.34055334378952185,0.0,294.42499448096567,212.9051946568498,507.33018913781547,0.0,2.555
1978,818.6,0.0,0.0,345.9985201528209,392.14703327284104,738.1455534256619,0.0,4.706
1979,730.3,25.291907178931346,0.0,336.114521701904,324.1324176862691,660.246939388173,2.9693459578653574,3.89
1980,530.2,0.0,0.0,288.95390153820335,228.63652052954893,517.5904220677522,0.0,2.744
1981,1031.5,53.885310553076515,0.0,330.09606733187746,311.8789713318681,641.9750386637456,1.0613118421637233,3.743
1982,408.2,0.0,0.0,256.84196813256426,250.9854567215937,507.8274248541579,0.0,3.012
1983,1023.4,37.87389409363106,0.0,327.55566034459326,379.68027194369176,707.2359322882851,1.9732207213702122,4.556
1984,847.9,7.099374667550123,0.0,376.8139676654608,443.55139944257724,820.3653671080381,0.10958835694285271,5.323
1985,529.6,0.0,0.0,348.46822592379397,202.85374112055538,551.3219670443493,0.0,2.434
1986,518.0,0.0670284844435575,0.0,325.14442852176285,206.24809013412738,531.3925186558903,0.0,2.475
1987,598.3,0.0,0.0,312.0533725130483,265.22766266871105,577.2810351817594,0.0,3.183
1988,1042.6,48.44040044918812,0.0,320.06268338534136,393.96034379720237,714.0230271825437,1.1808885941285074,4.728
1989,848.1,20.348843274197804,0.0,356.9231188649937,289.28610233211595,646.2092211971096,0.3916041988311465,3.471
1990,693.6,28.396230384911103,0.0,308.180708749389,358.1767678103961,666.357476559785,0.9899637714795202,4.298
1991,453.0,0.4630859828465645,0.0,238.92754207256056,140.1351115693235,379.0626536418841,0.0,1.682
1992,526.5,0.03551209772309739,0.0,320.0779235537647,228.13604371200432,548.213967265769,0.0,2.738
1993,502.3,0.4329879901954683,0.0,273.62877357138,126.0370836304184,399.6658572017984,0.0,1.512
1994,513.5,22.78076479981519,0.0,266.29176233760944,216.5243621895973,482.81612452720674,0.42919936354303295,2.598
1995,793.3,2.498880475121663,0.0,342.6552332170267,251.16031319696376,593.8155464139905,0.04381582411757604,3.014
1996,810.5,41.66586788765554,0.0,321.8017399817248,356.5409987620619,678.3427387437866,0.9296942813542449,4.278
1997,497.1,0.0,0.0,282.42699422997237,242.2044464634966,524.631440693469,0.0,2.906
1998,733.2,1.0788386151513434,0.0,327.0934633613135,317.5031299238205,644.596593285134,0.02470734017168487,3.81
1999,684.1,12.219269913775786,0.0,302.68301385913713,275.4528211358079,578.1358349949451,0.23018507929382143,3.305
2000,399.1,0.21919549887304013,0.0,258.33659462506716,192.82447416304566,451.16106878811286,0.0,2.314
