date,rain_mm,runoff_mm,drainage_mm,soil_evap_mm,transp_mm,et_mm,erosion_t_ha,yield_t_ha
1975,707.7,28.346913485814433,0.0,313.5609577675608,370.54521170249996,684.1061694700608,6.259152140742223,4.447
1976,655.1,2.6124805625176264,0.0,380.23476901085917,384.246449409226,764.4812184200852,0.7128734659221719,4.611
1977,544.0,0.3715790805560091,0.0,328.0156701409791,188.87828658827544,516.8939567292546,0.0,2.267
1978,818.6,0.0,0.0,410.90534658731923,359.4126815654388,770.3180281527581,0.0,4.313
1979,730.3,23.35694251467518,0.0,364.12022441193545,311.48166133927504,675.6018857512105,2.6801517283419685,3.738
1980,530.2,0.0,0.0,328.2729602511686,196.02474334733856,524.2977035985072,0.0,2.352
1981,1031.5,68.54731452694597,0.0,378.054942726862,305.6793225886941,683.7342653155561,17.068492658581796,3.668
1982,408.2,0.0,0.0,309.02773670640283,197.36014978145246,506.3878864878553,0.0,2.368
1983,1023.4,37.5659429743898,0.0,381.95759656009267,352.1506659859691,734.1082625460618,8.719105057475215,4.226
1984,847.9,7.995619687049732,0.0,425.2010444034787,422.7787167306257,847.9797611341045,1.4294882451086872,5.073
1985,529.6,0.0,0.0,356.83335545566837,185.7797102187369,542.6130656744052,0.0,2.229
1986,518.0,0.6311825804722134,0.0,342.13508639979375,192.65388080223855,534.7889672020323,0.0,2.312
1987,598.3,0.0,0.0,343.46506237443845,230.17745154468895,573.6425139191274,0.0,2.762
1988,1042.6,62.49282451459298,0.0,392.10790815990924,377.6099636199894,769.7178717798986,14.295245932458414,4.531
1989,848.1,25.378682802977558,0.0,415.33223565792224,267.8020935531777,683.1343292111,6.8303339082509,3.214
1990,693.6,34.114004518731754,0.0,357.8061435369343,339.0090816612793,696.8152251982136,8.39896937930413,4.068
1991,453.0,1.2439367228348899,0.0,276.4844429779645,112.1987132457831,388.6831562237476,0.3109011201397331,1.346
1992,526.5,0.27244710106065584,0.0,356.2420006870682,197.12927277296546,553.3712734600336,0.0,2.366
1993,502.3,0.8942759576886514,0.0,289.77563994066844,115.79920169213769,405.57484163280617,0.0,1.39
1994,513.5,29.06049920668904,0.0,296.9965597196069,191.78112276363092,488.7776824832378,7.50327506668677,2.301
1995,793.3,3.8533288958479663,0.0,389.65330049914314,207.39942998759133,597.0527304867344,0.5792105847425932,2.489
1996,810.5,49.97121463636068,0.0,373.3458719039867,341.7317779594609,715.0776498634476,13.852740821146602,4.101
1997,497.1,0.0,0.0,312.04737729612066,211.24646545943426,523.2938427555549,0.0,2.535
1998,733.2,1.4729729646397356,0.0,372.15002894028646,288.9597829068196,661.1098118471061,0.4038167904506321,3.468
1999,684.1,14.362322387157091,0.0,356.59143113057246,250.64830632409854,607.2397374546711,3.5074134458860264,3.008
2000,399.1,0.8183810036676583,0.0,280.58627452819803,179.0433775101848,459.6296520383828,0.0,2.149
2001,629.8,4.960597475809815,0.0,293.44065998199784,213.46542987109908,506.90608985309694,0.8572500873276321,2.562
2002,561.4,1.1681513996385378,0.0,318.1790897141694,236.8370067583189,555.0160964724882,0.30891397531398784,2.842
2003,666.9,11.11697761187976,0.0,347.90167908540906,253.49055937091586,601.3922384563249,1.0953626646450574,3.042
2004,685.4,13.018811292897427,0.0,359.1205845883242,289.1293072149505,648.2498918032746,2.887872992470319,3.47
2005,487.6,0.11344161855609176,0.0,270.6302248309068,241.7047560752944,512.3349809062012,0.0,2.9
2006,350.40000000000003,0.0,0.0,268.8152729183232,118.21057341872437,387.0258463370476,0.0,1.419
2007,498.3,0.00634138850309219,0.0,299.7752706923142,136.7515342435404,436.5268049358546,0.0,1.641
2008,691.4,14.724941700132659,0.0,331.1067249135295,267.08659791073524,598.1933228242647,3.5829487774411626,3.205
2009,444.4,0.11549659531517419,0.0,303.47613577606137,203.90197543318087,507.3781112092422,0.0,2.447
2010,871.8,14.790176145019824,0.0,323.4881533711805,338.2031997595313,661.6913531307117,3.144203765102991,4.058
2011,751.8,19.262622582502193,0.0,325.95289762429815,352.55537318695616,678.5082708112543,4.578624667437615,4.231
2012,545.8,0.0,0.0,362.4735447294009,168.0800584090206,530.5536031384215,0.0,2.017
2013,587.7,14.084342287079187,0.0,322.8958777686436,210.40646598491554,533.3023437535592,3.5741102335664676,2.525
2014,443.3,11.82659260561071,0.0,280.40521002822925,148.29113197614564,428.69634200437486,3.3554135739997184,1.779
2015,533.9,1.5837345099527889,0.0,356.49698529664266,156.5230792515134,513.020064548156,0.0,1.878
2016,475.2,0.0,0.0,326.58707032566997,138.4136676391753,465.0007379648453,0.0,1.661
2017,596.3,8.350275702930386,0.0,298.61763697522366,215.4087102001904,514.0263471754141,2.383638928196066,2.585
2018,581.3,6.982338323276192,0.0,251.80243285735844,249.59060530576792,501.39303816312633,0.6675317153431799,2.995
2019,169.8,0.0,0.0,155.05728947511818,138.36106964883868,293.41835912395686,0.0,1.66
2020,515.3,0.0,0.0,327.74614627018775,171.0987602633485,498.8449065335363,0.0,2.053
2021,858.1,5.685456670108851,0.0,397.83584753868433,266.873947145178,664.7097946838624,0.14344862699505764,3.202
2022,830.0,50.60660868181331,0.0,369.00487201008383,376.047079569892,745.0519515799758,13.271473315935884,4.513
2023,429.90000000000003,0.40364933145728044,0.0,257.62897030405804,153.6483513238772,411.27732162793524,0.0,1.844
2024,772.3,15.577283296370101,0.0,380.4648254182125,264.11441001269844,644.579235430911,3.787552743624958,3.169
2025,524.2,0.2198332068961079,0.0,382.75096310095523,213.64083851614708,596.3918016171024,0.0,2.564
