date,rain_mm,runoff_mm,drainage_mm,soil_evap_mm,transp_mm,et_mm,erosion_t_ha,yield_t_ha
1975,707.7,33.23380829038976,27.882139411306866,268.98236912426574,243.39415268331888,512.3765218075847,0.5927195664632149,2.921
1976,655.1,15.218333529038143,38.88133355707646,352.0529007209638,296.320402405713,648.3733031266768,0.3729658403777302,3.556
1977,544.0,8.079854738774442,3.5035145676871196,294.42499448096567,171.74678495932656,466.17177944029226,0.2526367199691084,2.061
1978,818.6,7.977509949040421,32.06346100795204,345.49110399057656,302.0069823919253,647.4980863825019,0.19707470709813207,3.624
1979,730.3,56.03525019900344,37.668227693818096,336.11452170190415,236.74654071888108,572.8610624207852,4.866166790094601,2.841
1980,530.2,1.6528242814363474,3.148065697473214,288.9539015382034,198.13271399049424,487.0866155286976,0.0,2.378
1981,1031.5,148.78851924848703,30.888169884067906,330.0960673318776,213.15602593475703,543.2520932666346,3.3685888465682536,2.558
1982,408.2,2.837924369371178,58.023873074532446,256.8419681325643,149.60348103968553,406.4454491722498,0.01908036944658513,1.795
1983,1023.4,120.72142728785438,81.22688297623876,327.5556603445933,225.39430497139227,552.9499653159857,5.531719991209884,2.705
1984,847.9,39.741296278744585,54.5092223240226,376.8139676654609,324.794653836304,701.6086215017649,0.7644096821464029,3.898
1985,529.6,0.15226805565594068,0.0,348.46822592379397,198.07105266174727,546.5392785855412,0.0,2.377
1986,518.0,5.469598565315894,0.0,325.1444285217629,168.24809013412747,493.39251865589034,0.11958793876870352,2.019
1987,598.3,0.8468875454568845,0.0,312.05337251304843,227.96872012336232,540.0220926364108,0.0,2.736
1988,1042.6,148.68804769514904,102.80313744883765,320.0626833853415,207.71178992067075,527.7744733060123,3.1519563978471097,2.493
1989,848.1,86.03200840856054,44.55417158336206,356.92311886499374,207.1259328133368,564.0490516783306,1.6649040767419447,2.486
1990,693.6,74.39115252755013,78.71684108089957,308.18070874938917,202.30829538327384,510.489004132663,2.053092180994022,2.428
1991,453.0,3.308782125664069,0.0,238.92754207256056,97.21565356458117,336.14319563714173,0.054745165839176865,1.167
1992,526.5,12.815291789263075,22.640493750094862,320.0779235537648,165.3868786740087,485.4648022277734,0.23901039559812193,1.985
1993,502.3,1.6153563149232613,0.0,273.62877357138007,126.0327245624478,399.6614981338278,0.024019437021876384,1.512
1994,513.5,90.11529518530972,47.82197962750513,266.29176233760944,123.39078525700936,389.68254759461877,1.6967290255642682,1.481
1995,793.3,29.191625512954097,5.835454070203099,342.6552332170267,211.73011389073443,554.3853471077612,1.1431117830447501,2.541
1996,810.5,90.66823908857327,104.26193190650434,321.8017399817249,175.23272949937828,497.03446948110314,1.8963503681338958,2.103
1997,497.1,4.320234015683216,9.935482936049397,282.4269942299724,219.3869137625029,501.8139079924753,0.17594547006970235,2.633
1998,733.2,21.644022623901733,29.569682351077546,327.0934633613135,245.92813190905696,573.0215952703705,0.45612011512587775,2.951
1999,684.1,51.07814134361094,51.46434704830588,302.68301385913713,173.16258922411197,475.8456030832491,0.9461358916553685,2.078
2000,399.1,16.950221111423517,18.786843306573132,258.33294851819204,144.16831377620528,402.50126229439735,0.4530304610914832,1.73
