date,rain_mm,runoff_mm,drainage_mm,soil_evap_mm,transp_mm,et_mm,erosion_t_ha,yield_t_ha
1975,572.3,0.7507232285526001,0.0,331.239211577864,235.84441428399558,567.0836258618596,0.0,0.0
1976,625.4,8.042592037616577,17.408617796938017,395.7735712851501,336.51727447815483,732.2908457633049,0.13189374817252997,0.0
1977,733.9,66.41302344629074,53.611900821516315,279.7667022096624,320.05324019292,599.8199424025823,1.8112584659699356,0.0
1978,802.4,15.60852255068499,58.05122813544696,389.8587085532745,345.6004906350782,735.4591991883526,0.8646589169623078,0.0
1979,600.3000000000001,25.25880911070192,0.0,347.5471315983812,234.96463082857835,582.5117624269596,0.9226515661971657,0.0
1980,529.9,1.698405163149084,0.0,345.6924869694088,213.1205408572011,558.8130278266099,0.044397383915119944,0.0
1981,610.2,10.852755573518731,0.0,356.00703426816636,264.42831957244,620.4353538406064,0.23377463806434,0.0
1982,552.9,0.0,0.0,293.36553027892745,267.33004494976615,560.6955752286937,0.0,0.0
1983,896.0,66.87869274865903,166.04231251232855,383.9961048928894,292.4237704508882,676.4198753437776,2.0401795669385145,0.0
1984,853.9,19.236286414966365,44.578230159815234,434.91006243624884,365.42790903966534,800.3379714759142,1.0652462356932078,0.0
1985,613.2,3.3284055485085617,0.0,364.9140498327212,279.427409403485,644.3414592362062,0.1539975065295979,0.0
1986,406.7,0.21218168766444556,0.0,298.41178051410407,137.78519051729657,436.1969710314006,0.0,0.0
1987,440.8,0.07164462417634065,0.0,333.52845902621027,134.04651415566923,467.5749731818795,0.0,0.0
1988,614.5,0.2622140207574724,0.0,367.3388026668454,264.2454387579386,631.5842414247841,0.0,0.0
1989,873.2,85.36265036092895,121.07506178635225,363.7227016838109,304.3943828640183,668.1170845478292,3.427243710577514,0.0
1990,666.1999999999999,72.61415152002519,133.29053129597602,297.5390393145494,181.4711220622562,479.0101613768056,1.623387782205331,0.0
1991,472.4,0.5949042197899929,0.0,268.24178194907284,226.30584707715042,494.54762902622326,0.0,0.0
1992,441.3,0.0,0.0,337.3849932407326,137.28606258170555,474.6710558224382,0.0,0.0
1993,283.7,0.0,0.0,277.0815756346403,53.532290924743876,330.6138665593841,0.0,0.0
1994,501.0,10.3830898778499,0.0,274.7789373721501,243.1778448481103,517.9567822202604,0.3967907650919561,0.0
1995,734.5,26.887484962538483,3.057994312733342,366.963289838586,350.0836159157471,717.0469057543331,0.6893046415959961,0.0
1996,700.0,15.861456966801875,3.920086760897476,345.62535455511403,367.75880220445674,713.3841567595708,0.30836862885122274,0.0
1997,664.3000000000001,15.210217276664666,1.6279840437875635,326.8302326023628,335.88484528288006,662.7150778852429,0.36655440499424974,0.0
1998,730.0,0.3946889390894887,0.0,419.3062373101625,324.67780258671075,743.9840398968732,0.0,0.0
1999,706.5,0.38469697955993987,0.0,408.82173348740736,292.7696338796768,701.5913673670841,0.0,0.0
2000,719.0,10.144601765262458,0.0,376.3890234441133,374.2748892253729,750.6639126694862,0.4636348544117733,0.241
